g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993844444444,0.00210588180733
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0147777777778,0.00832313552273
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0168222222222,0.00928506951855
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994533333333,0.00139402116883
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.983888888889,0.00288254534888
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z12 Y13 Y14 Z15 X16,0.9828,0.00310924957991
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X14,0.994488888889,0.00238085166727
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X15,0.994133333333,0.00181437427864
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X15 Z16 Y17,0.989044444444,0.00336619813894
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X16 X17,0.994555555556,0.00201209624271
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994644444444,0.00218306497137
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.994111111111,0.0020572893175
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X12,0.984066666667,0.00333723909107
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X13,0.982133333333,0.00392027835434
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.994377777778,0.00178270390296
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.994577777778,0.00197868591661
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.994311111111,0.00193165470791
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X9 Y12 Z14,0.988977777778,0.0029594103862
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Y0 Z1 X2,0.988755555556,0.00295422722433
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z3 Y5 X8,0.988777777778,0.00293523101277
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical X,0.994444444444,0.00172725133964
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.0144888888889,0.00945557604079
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.0167111111111,0.0108954394246
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X0 X1,0.994866666667,0.00175206501043
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X1 Z2 Y3 Y4 Z5 X7,0.984311111111,0.00283239786225
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X10 Z12 Y13 Y14 Z15 X16,0.983088888889,0.00279837573761
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X12 X14,0.995,0.00181732825663
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X13 X15,0.994244444444,0.00222478779105
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X15 Z16 Y17,0.988755555556,0.00246186754849
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X16 X17,0.994866666667,0.00178671127067
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X2 X4,0.994466666667,0.00167148728138
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X3 X5,0.994466666667,0.00170776904053
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X4 Z6 Y7 Y9 Z10 X12,0.984333333333,0.00288608764865
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X5 Z7 Y8 Y10 Z11 X13,0.983377777778,0.00304718113986
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X6 X9,0.994266666667,0.00153228349867
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X7 X10,0.993955555556,0.00219322071704
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X8 X11,0.994533333333,0.00183954017243
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X9 Y12 Z14,0.9886,0.00218212873675
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Y0 Z1 X2,0.989,0.00335281662343
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z3 Y5 X8,0.989311111111,0.00268661123889
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,Logical X,0.994266666667,0.00176470287732
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,Logical Y,0.0155111111111,0.0120991223308
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,Logical Z,0.0156444444444,0.0100903707116
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X0 X1,0.994177777778,0.00157502863401
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X1 Z2 Y3 Y4 Z5 X7,0.983911111111,0.00356540780591
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X10 Z12 Y13 Y14 Z15 X16,0.983066666667,0.00450661497624
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X12 X14,0.994333333333,0.00200955571613
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X13 X15,0.994777777778,0.00182013711187
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X15 Z16 Y17,0.989288888889,0.00318970246073
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X16 X17,0.995111111111,0.00188019183283
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X2 X4,0.994644444444,0.00237795322875
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X3 X5,0.994,0.00199616490539
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X4 Z6 Y7 Y9 Z10 X12,0.982955555556,0.00387024540425
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X5 Z7 Y8 Y10 Z11 X13,0.982977777778,0.00271074678791
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X6 X9,0.994888888889,0.00214660621985
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X7 X10,0.994666666667,0.00182783920753
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X8 X11,0.994133333333,0.00166459641537
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,X9 Y12 Z14,0.988155555556,0.00308591328326
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,Y0 Z1 X2,0.988733333333,0.00307928438719
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,10,Z3 Y5 X8,0.988622222222,0.00352737877491
