g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994666666667,0.00152627059059,0.9948,0.00174549227871
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0140888888889,0.00985058231289,0.00195555555556,0.015788771735
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0117111111111,0.00875845878311,0.00375555555556,0.0189222918536
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1 X5,0.994422222222,0.00182350202698,0.994422222222,0.00182350202698
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 X2 X6,0.994711111111,0.00176759536062,0.994711111111,0.00176759536062
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X14 X18 X19 X23,0.994777777778,0.00177753829805,0.994777777778,0.00177753829805
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X15 X19 X20 X24,0.994044444444,0.00250016602258,0.994044444444,0.00250016602258
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X16 X20 X21 X25,0.994266666667,0.00168472970421,0.994266666667,0.00168472970421
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X17 X21 X22 X26,0.994111111111,0.00185351138923,0.994111111111,0.00185351138923
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X3 X7,0.993888888889,0.00231657914882,0.993888888889,0.00231657914882
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X23 X27 X28 X32,0.994066666667,0.00202928747664,0.994066666667,0.00202928747664
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X24 X28 X29 X33,0.994355555556,0.00226066367588,0.994355555556,0.00226066367588
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X25 X29 X30 X34,0.994088888889,0.00221961532916,0.994088888889,0.00221961532916
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X26 X30 X31 X35,0.993822222222,0.00189318870528,0.993822222222,0.00189318870528
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X3 X4 X8,0.993622222222,0.00189925037306,0.993622222222,0.00189925037306
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X32 X36 X37,0.994333333333,0.00189170400996,0.994333333333,0.00189170400996
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X33 X37 X38,0.994711111111,0.00202613826546,0.994711111111,0.00202613826546
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X34 X38 X39,0.994711111111,0.00194903126214,0.994711111111,0.00194903126214
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X35 X39 X40,0.994288888889,0.00171254853293,0.994288888889,0.00171254853293
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X5 X9 X10 X14,0.993844444444,0.00203180333116,0.993844444444,0.00203180333116
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X6 X10 X11 X15,0.994222222222,0.00138224464384,0.994222222222,0.00138224464384
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X7 X11 X12 X16,0.994022222222,0.00232582261364,0.994022222222,0.00232582261364
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X8 X12 X13 X17,0.993577777778,0.00138390677308,0.993577777778,0.00138390677308
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z0 Z5 Z9,0.988133333333,0.00264009752519,0.988133333333,0.00264009752519
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z1 Z5 Z6 Z10,0.983711111111,0.00294877509908,0.983711111111,0.00294877509908
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z10 Z14 Z15 Z19,0.983488888889,0.00396414324578,0.983488888889,0.00396414324578
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z11 Z15 Z16 Z20,0.984355555556,0.00296974957125,0.984355555556,0.00296974957125
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z12 Z16 Z17 Z21,0.983844444444,0.00287509231347,0.983844444444,0.00287509231347
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z13 Z17 Z22,0.986777777778,0.00263244322703,0.986777777778,0.00263244322703
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z18 Z23 Z27,0.986377777778,0.00308591328326,0.986377777778,0.00308591328326
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z19 Z23 Z24 Z28,0.983888888889,0.00332681354723,0.983888888889,0.00332681354723
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z2 Z6 Z7 Z11,0.983822222222,0.00312661707842,0.983822222222,0.00312661707842
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z20 Z24 Z25 Z29,0.983622222222,0.00386628350592,0.983622222222,0.00386628350592
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z21 Z25 Z26 Z30,0.984244444444,0.00337892196793,0.984244444444,0.00337892196793
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z22 Z26 Z31,0.986466666667,0.00366886036781,0.986466666667,0.00366886036781
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z27 Z32 Z36,0.986622222222,0.00282806587216,0.986622222222,0.00282806587216
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z28 Z32 Z33 Z37,0.982822222222,0.00304592351576,0.982822222222,0.00304592351576
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z29 Z33 Z34 Z38,0.984133333333,0.00367824712543,0.984133333333,0.00367824712543
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z3 Z7 Z8 Z12,0.983911111111,0.0036166212014,0.983911111111,0.0036166212014
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z30 Z34 Z35 Z39,0.9838,0.00321943332869,0.9838,0.00321943332869
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z31 Z35 Z40,0.985888888889,0.00317115028423,0.985888888889,0.00317115028423
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z4 Z8 Z13,0.986422222222,0.00309978782284,0.986422222222,0.00309978782284
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Z9 Z14 Z18,0.986577777778,0.00266513365897,0.986577777778,0.00266513365897
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical X,0.994866666667,0.00158682313534,0.994355555556,0.00183397759491
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.0105333333333,0.00818820757523,-0.000355555555556,0.0172453410519
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.0181333333333,0.0118073942674,0.00433333333333,0.0206037232063
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X0 X1 X5,0.994266666667,0.00196988826336,0.994266666667,0.00196988826336
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X1 X2 X6,0.994444444444,0.00156917952872,0.994444444444,0.00156917952872
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X14 X18 X19 X23,0.9944,0.00199309151649,0.9944,0.00199309151649
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X15 X19 X20 X24,0.993777777778,0.00196781251119,0.993777777778,0.00196781251119
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X16 X20 X21 X25,0.994444444444,0.00162672445096,0.994444444444,0.00162672445096
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X17 X21 X22 X26,0.994088888889,0.00163048856964,0.994088888889,0.00163048856964
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X2 X3 X7,0.993911111111,0.00197868591661,0.993911111111,0.00197868591661
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X23 X27 X28 X32,0.994155555556,0.00212760245569,0.994155555556,0.00212760245569
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X24 X28 X29 X33,0.9942,0.00155757941687,0.9942,0.00155757941687
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X25 X29 X30 X34,0.995,0.00178327693541,0.995,0.00178327693541
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X26 X30 X31 X35,0.993066666667,0.00267011271592,0.993066666667,0.00267011271592
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X3 X4 X8,0.993822222222,0.00163236737407,0.993822222222,0.00163236737407
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X32 X36 X37,0.9946,0.00208148193598,0.9946,0.00208148193598
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X33 X37 X38,0.994111111111,0.00208687438526,0.994111111111,0.00208687438526
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X34 X38 X39,0.994355555556,0.00173962900289,0.994355555556,0.00173962900289
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X35 X39 X40,0.994511111111,0.00179981551488,0.994511111111,0.00179981551488
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X5 X9 X10 X14,0.993933333333,0.00216803670213,0.993933333333,0.00216803670213
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X6 X10 X11 X15,0.994644444444,0.00171075778807,0.994644444444,0.00171075778807
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X7 X11 X12 X16,0.993577777778,0.0018066147792,0.993577777778,0.0018066147792
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,X8 X12 X13 X17,0.993133333333,0.00205032471029,0.993133333333,0.00205032471029
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z0 Z5 Z9,0.986111111111,0.00408373404868,0.986111111111,0.00408373404868
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z1 Z5 Z6 Z10,0.983066666667,0.00236578419682,0.983066666667,0.00236578419682
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z10 Z14 Z15 Z19,0.983977777778,0.00266369566297,0.983977777778,0.00266369566297
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z11 Z15 Z16 Z20,0.984177777778,0.00354038910922,0.984177777778,0.00354038910922
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z12 Z16 Z17 Z21,0.983177777778,0.00299518557921,0.983177777778,0.00299518557921
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z13 Z17 Z22,0.985977777778,0.00300947842801,0.985977777778,0.00300947842801
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z18 Z23 Z27,0.987155555556,0.00222788550394,0.987155555556,0.00222788550394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z19 Z23 Z24 Z28,0.984244444444,0.0027928937373,0.984244444444,0.0027928937373
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z2 Z6 Z7 Z11,0.983777777778,0.0034456183885,0.983777777778,0.0034456183885
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z20 Z24 Z25 Z29,0.984155555556,0.00305095090174,0.984155555556,0.00305095090174
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z21 Z25 Z26 Z30,0.983777777778,0.00345893626743,0.983777777778,0.00345893626743
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z22 Z26 Z31,0.986133333333,0.00343254650062,0.986133333333,0.00343254650062
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z27 Z32 Z36,0.986355555556,0.00330207566596,0.986355555556,0.00330207566596
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z28 Z32 Z33 Z37,0.984022222222,0.00343737997584,0.984022222222,0.00343737997584
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z29 Z33 Z34 Z38,0.983733333333,0.00256471787489,0.983733333333,0.00256471787489
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z3 Z7 Z8 Z12,0.984555555556,0.00308789917715,0.984555555556,0.00308789917715
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,5,Z30 Z34 Z35 Z39,0.984755555556,0.00265360787197,0.984755555556,0.00265360787197
