g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.993933333333,0.0021179763348,0.993644444444,0.00212796258813
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0146222222222,0.0122226262559,-0.00722222222222,0.0197696181885
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0148666666667,0.0125128592859,0.00493333333333,0.021575209273
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994066666667,0.00188846062307,0.994066666667,0.00188846062307
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.983177777778,0.00324094179271,0.983177777778,0.00324094179271
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.983533333333,0.00330864419918,0.983533333333,0.00330864419918
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 Z107 Y108 Y114 Z115 X121,0.983422222222,0.0035868355869,0.983422222222,0.0035868355869
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 Z108 Y109 Y115 Z116 X122,0.9824,0.00340655217209,0.9824,0.00340655217209
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X102 Z109 Y110 Y116 Z117 X123,0.983933333333,0.00326762828914,0.983933333333,0.00326762828914
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X103 Z110 Y111 Y117 Z118 X124,0.983844444444,0.00329254741115,0.983844444444,0.00329254741115
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X104 Z111 Y112 Y118 Z119 X125,0.983622222222,0.00338436039372,0.983622222222,0.00338436039372
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X105 Z112 Y119,0.989111111111,0.0034766140807,0.989111111111,0.0034766140807
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X106 X113,0.9942,0.00206522010924,0.9942,0.00206522010924
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X107 X114,0.994088888889,0.00209164243395,0.994088888889,0.00209164243395
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X108 X115,0.994511111111,0.00226709484349,0.994511111111,0.00226709484349
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X109 X116,0.994377777778,0.00200140436007,0.994377777778,0.00200140436007
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.983777777778,0.00332796502585,0.983777777778,0.00332796502585
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X110 X117,0.994177777778,0.00209310734071,0.994177777778,0.00209310734071
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X111 X118,0.994555555556,0.00143394355717,0.994555555556,0.00143394355717
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X112 X119,0.993444444444,0.00176889543502,0.993444444444,0.00176889543502
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X113 Y120 Z126,0.989266666667,0.00297808084464,0.989266666667,0.00297808084464
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X114 Z120 Y121 Y126 Z127 X132,0.982888888889,0.00270848437539,0.982888888889,0.00270848437539
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X115 Z121 Y122 Y127 Z128 X133,0.984088888889,0.0034607081123,0.984088888889,0.0034607081123
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X116 Z122 Y123 Y128 Z129 X134,0.984377777778,0.00351758944513,0.984377777778,0.00351758944513
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X117 Z123 Y124 Y129 Z130 X135,0.983466666667,0.00370729838328,0.983466666667,0.00370729838328
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X118 Z124 Y125 Y130 Z131 X136,0.983777777778,0.00341434132626,0.983777777778,0.00341434132626
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.9944,0.00167560819861,0.9944,0.00167560819861
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X120 X126,0.995044444444,0.00160156373139,0.995044444444,0.00160156373139
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X121 X127,0.994577777778,0.00187529478313,0.994577777778,0.00187529478313
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X122 X128,0.994555555556,0.00181169748165,0.994555555556,0.00181169748165
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X123 X129,0.993822222222,0.0019093103875,0.993822222222,0.0019093103875
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X124 X130,0.994688888889,0.00195335124807,0.994688888889,0.00195335124807
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X125 X131,0.994555555556,0.00186176148069,0.994555555556,0.00186176148069
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X127 Z132 Y133 Y137 Z138 X142,0.984044444444,0.00290294253323,0.984044444444,0.00290294253323
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X128 Z133 Y134 Y138 Z139 X143,0.984466666667,0.00232362512391,0.984466666667,0.00232362512391
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X129 Z134 Y135 Y139 Z140 X144,0.984177777778,0.00365539891826,0.984177777778,0.00365539891826
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994422222222,0.00174622380394,0.994422222222,0.00174622380394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X130 Z135 Y136 Y140 Z141 X145,0.983333333333,0.00326129043872,0.983333333333,0.00326129043872
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X131 Z136 Y141,0.9896,0.00318810048059,0.9896,0.00318810048059
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X132 X137,0.994555555556,0.00180321835173,0.994555555556,0.00180321835173
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X133 X138,0.9944,0.00190663290702,0.9944,0.00190663290702
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X134 X139,0.994133333333,0.00227193437928,0.994133333333,0.00227193437928
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X135 X140,0.994222222222,0.00187202296653,0.994222222222,0.00187202296653
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X136 X141,0.994577777778,0.00199411650577,0.994577777778,0.00199411650577
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X137 Y142 Z146,0.988222222222,0.00258099944011,0.988222222222,0.00258099944011
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X138 Z142 Y143 Y146 Z147 X150,0.9836,0.00344235507017,0.9836,0.00344235507017
