g1_z,IZ,ZI,ZZ,ZX,ZY,XZ,YZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994044444444,0.00232878593554,0.993311111111,0.00206769224337
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0136444444444,0.0108203488352,0.00204444444444,0.0199347082395
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0150444444444,0.00971578221299,-0.00364444444444,0.0162855113506
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X0 X1 X9,0.994133333333,0.0019290082418,0.994133333333,0.0019290082418
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X1 X2 X10,0.993377777778,0.00189318870528,0.993377777778,0.00189318870528
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X10 X18 X19 X27,0.993888888889,0.00182853778933,0.993888888889,0.00182853778933
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X100 X108 X109 X117,0.994022222222,0.00174622380394,0.994022222222,0.00174622380394
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X101 X109 X110 X118,0.991133333333,0.00248304596038,0.991133333333,0.00248304596038
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X11 X19 X20 X28,0.994022222222,0.00237149957139,0.994022222222,0.00237149957139
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X111 X119 X120 X128,0.994155555556,0.00147191676149,0.994155555556,0.00147191676149
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X112 X120 X121 X129,0.994177777778,0.00190126663433,0.994177777778,0.00190126663433
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X113 X121 X122 X130,0.9934,0.00207410600231,0.9934,0.00207410600231
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X114 X122 X123 X131,0.994711111111,0.00201856011299,0.994711111111,0.00201856011299
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X115 X123 X124 X132,0.994111111111,0.00204982633286,0.994111111111,0.00204982633286
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X116 X124 X125 X133,0.994022222222,0.00140588073412,0.994022222222,0.00140588073412
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X117 X125 X126 X134,0.994244444444,0.00198448644801,0.994244444444,0.00198448644801
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X118 X126 X127 X135,0.991711111111,0.00313518328041,0.991711111111,0.00313518328041
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X12 X20 X21 X29,0.993644444444,0.00234060170627,0.993644444444,0.00234060170627
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X128 X136 X137,0.994488888889,0.00151552207242,0.994488888889,0.00151552207242
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X129 X137 X138,0.994244444444,0.00232582261364,0.994244444444,0.00232582261364
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X13 X21 X22 X30,0.9942,0.00208000884171,0.9942,0.00208000884171
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X130 X138 X139,0.994111111111,0.00221512275908,0.994111111111,0.00221512275908
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X131 X139 X140,0.994111111111,0.00178613934003,0.994111111111,0.00178613934003
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X132 X140 X141,0.994377777778,0.0016579850517,0.994377777778,0.0016579850517
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X133 X141 X142,0.994177777778,0.00218622180317,0.994177777778,0.00218622180317
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X134 X142 X143,0.993911111111,0.00224023352185,0.993911111111,0.00224023352185
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X135 X143 X144,0.992088888889,0.00221269990474,0.992088888889,0.00221269990474
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X14 X22 X23 X31,0.994333333333,0.0019554423513,0.994333333333,0.0019554423513
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X15 X23 X24 X32,0.994666666667,0.00149584353885,0.994666666667,0.00149584353885
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X16 X24 X25 X33,0.991822222222,0.00287109165741,0.991822222222,0.00287109165741
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X2 X3 X11,0.993644444444,0.00208430245658,0.993644444444,0.00208430245658
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X26 X34 X35 X43,0.9936,0.00165721457671,0.9936,0.00165721457671
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X27 X35 X36 X44,0.994422222222,0.0013949370228,0.994422222222,0.0013949370228
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X28 X36 X37 X45,0.993622222222,0.00176542644243,0.993622222222,0.00176542644243
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X29 X37 X38 X46,0.994666666667,0.00220761482564,0.994666666667,0.00220761482564
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X3 X4 X12,0.993222222222,0.00215906417455,0.993222222222,0.00215906417455
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X30 X38 X39 X47,0.9948,0.00174549227871,0.9948,0.00174549227871
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X31 X39 X40 X48,0.9944,0.00202361536787,0.9944,0.00202361536787
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X32 X40 X41 X49,0.993955555556,0.00246932651456,0.993955555556,0.00246932651456
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X33 X41 X42 X50,0.991977777778,0.00221096766896,0.991977777778,0.00221096766896
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X4 X5 X13,0.993644444444,0.00192370438727,0.993644444444,0.00192370438727
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X43 X51 X52 X60,0.9948,0.00223795199206,0.9948,0.00223795199206
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X44 X52 X53 X61,0.993955555556,0.00213658755629,0.993955555556,0.00213658755629
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X45 X53 X54 X62,0.994666666667,0.00191785320594,0.994666666667,0.00191785320594
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X46 X54 X55 X63,0.993844444444,0.00217039172857,0.993844444444,0.00217039172857
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X47 X55 X56 X64,0.993977777778,0.00182350202698,0.993977777778,0.00182350202698
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X48 X56 X57 X65,0.994533333333,0.00195269731908,0.994533333333,0.00195269731908
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X49 X57 X58 X66,0.994666666667,0.00192582768194,0.994666666667,0.00192582768194
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X5 X6 X14,0.991955555556,0.0019252970778,0.991955555556,0.0019252970778
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X50 X58 X59 X67,0.991044444444,0.00263593401817,0.991044444444,0.00263593401817
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X6 X7 X15,0.992577777778,0.00231426251393,0.992577777778,0.00231426251393
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X60 X68 X69 X77,0.994266666667,0.00161031159975,0.994266666667,0.00161031159975
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X61 X69 X70 X78,0.994333333333,0.0017309444192,0.994333333333,0.0017309444192
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X62 X70 X71 X79,0.994622222222,0.00176759536062,0.994622222222,0.00176759536062
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X63 X71 X72 X80,0.994377777778,0.00193125796919,0.994377777778,0.00193125796919
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X64 X72 X73 X81,0.993866666667,0.00183118996966,0.993866666667,0.00183118996966
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X65 X73 X74 X82,0.993911111111,0.00162106188492,0.993911111111,0.00162106188492
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X66 X74 X75 X83,0.993533333333,0.00215242890511,0.993533333333,0.00215242890511
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X67 X75 X76 X84,0.991111111111,0.00224433443075,0.991111111111,0.00224433443075
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X7 X8 X16,0.991533333333,0.00170776904053,0.991533333333,0.00170776904053
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X77 X85 X86 X94,0.993888888889,0.00181169748165,0.993888888889,0.00181169748165
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X78 X86 X87 X95,0.994488888889,0.00190126663433,0.994488888889,0.00190126663433
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X79 X87 X88 X96,0.993644444444,0.00175716013775,0.993644444444,0.00175716013775
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X80 X88 X89 X97,0.994711111111,0.00180194304096,0.994711111111,0.00180194304096
1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1,X81 X89 X90 X98,0.993844444444,0.00156281829453,0.993844444444,0.00156281829453
