g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994777777778,0.00176889543502,0.994844444444,0.0015356138297
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0184,0.0108272396655,0.00391111111111,0.0180724241862
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0146222222222,0.00964175678072,0.0018,0.0203374972183
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9948,0.00181437427864,0.9948,0.00181437427864
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.984133333333,0.00289483620061,0.984133333333,0.00289483620061
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.983266666667,0.00328166857848,0.983266666667,0.00328166857848
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.983422222222,0.00340715196999,0.983422222222,0.00340715196999
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.994422222222,0.0018066147792,0.994422222222,0.0018066147792
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994777777778,0.00163377505951,0.994777777778,0.00163377505951
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.993911111111,0.00218481932994,0.993911111111,0.00218481932994
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.993733333333,0.0023397285103,0.993733333333,0.0023397285103
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X30,0.983377777778,0.00342151557615,0.983377777778,0.00342151557615
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X31,0.983488888889,0.00252304828912,0.983488888889,0.00252304828912
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X32,0.983222222222,0.00379991261579,0.983222222222,0.00379991261579
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X33,0.984066666667,0.00320129284229,0.984066666667,0.00320129284229
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994866666667,0.00191905148985,0.994866666667,0.00191905148985
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.994022222222,0.00187325056743,0.994022222222,0.00187325056743
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.994088888889,0.00200178719637,0.994088888889,0.00200178719637
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994755555556,0.00148280911138,0.994755555556,0.00148280911138
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.9948,0.00187256866629,0.9948,0.00187256866629
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.994577777778,0.00169500807158,0.994577777778,0.00169500807158
1e-05,1e-05,1e-05,1e-05,1,X25 Y30 Z34,0.989688888889,0.00249893974963,0.989688888889,0.00249893974963
1e-05,1e-05,1e-05,1e-05,1,X26 Z30 Y31 Y34 Z35 X38,0.983777777778,0.00265707085769,0.983777777778,0.00265707085769
1e-05,1e-05,1e-05,1e-05,1,X27 Z31 Y32 Y35 Z36 X39,0.983666666667,0.00357406580244,0.983666666667,0.00357406580244
1e-05,1e-05,1e-05,1e-05,1,X28 Z32 Y33 Y36 Z37 X40,0.9846,0.003900486265,0.9846,0.003900486265
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.993733333333,0.00182448229155,0.993733333333,0.00182448229155
1e-05,1e-05,1e-05,1e-05,1,X30 X34,0.994755555556,0.00186710449162,0.994755555556,0.00186710449162
1e-05,1e-05,1e-05,1e-05,1,X31 X35,0.994288888889,0.00214196052518,0.994288888889,0.00214196052518
1e-05,1e-05,1e-05,1e-05,1,X32 X36,0.994177777778,0.00203368817958,0.994177777778,0.00203368817958
1e-05,1e-05,1e-05,1e-05,1,X33 X37,0.9942,0.00248304596038,0.9942,0.00248304596038
1e-05,1e-05,1e-05,1e-05,1,X35 Z38 Y39 Y41 Z42 X44,0.984266666667,0.00330609561254,0.984266666667,0.00330609561254
1e-05,1e-05,1e-05,1e-05,1,X36 Z39 Y40 Y42 Z43 X45,0.982733333333,0.00373181414082,0.982733333333,0.00373181414082
1e-05,1e-05,1e-05,1e-05,1,X37 Z40 Y43,0.989133333333,0.00236286727567,0.989133333333,0.00236286727567
1e-05,1e-05,1e-05,1e-05,1,X38 X41,0.994644444444,0.00168366807491,0.994644444444,0.00168366807491
1e-05,1e-05,1e-05,1e-05,1,X39 X42,0.994111111111,0.00206472532722,0.994111111111,0.00206472532722
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X13,0.984111111111,0.00280165978902,0.984111111111,0.00280165978902
1e-05,1e-05,1e-05,1e-05,1,X40 X43,0.993866666667,0.00211109094566,0.993866666667,0.00211109094566
1e-05,1e-05,1e-05,1e-05,1,X41 Y44 Z46,0.989377777778,0.00278437530683,0.989377777778,0.00278437530683
1e-05,1e-05,1e-05,1e-05,1,X42 Z44 Y45 Y46 Z47 X48,0.984244444444,0.00278189732842,0.984244444444,0.00278189732842
1e-05,1e-05,1e-05,1e-05,1,X44 X46,0.993733333333,0.00166643676575,0.993733333333,0.00166643676575
1e-05,1e-05,1e-05,1e-05,1,X45 X47,0.994533333333,0.00237096097368,0.994533333333,0.00237096097368
1e-05,1e-05,1e-05,1e-05,1,X47 Z48 Y49,0.988511111111,0.00254722948185,0.988511111111,0.00254722948185
1e-05,1e-05,1e-05,1e-05,1,X48 X49,0.994488888889,0.00207841181139,0.994488888889,0.00207841181139
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X14,0.984022222222,0.00244155175413,0.984022222222,0.00244155175413
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.994244444444,0.00157064384712,0.994244444444,0.00157064384712
1e-05,1e-05,1e-05,1e-05,1,X7 X10,0.994133333333,0.00185612788567,0.994133333333,0.00185612788567
1e-05,1e-05,1e-05,1e-05,1,X8 X11,0.994355555556,0.00192370438727,0.994355555556,0.00192370438727
1e-05,1e-05,1e-05,1e-05,1,X9 Z12 Y13 Y16 Z17 X21,0.984444444444,0.00301380391674,0.984444444444,0.00301380391674
1e-05,1e-05,1e-05,1e-05,1,Y0 Z1 X2,0.988666666667,0.00311712609559,0.988666666667,0.00311712609559
1e-05,1e-05,1e-05,1e-05,1,Y6 Z9 X12,0.989066666667,0.00246725684148,0.989066666667,0.00246725684148
1e-05,1e-05,1e-05,1e-05,1,Z15 Y19 X24,0.988688888889,0.00284723880941,0.988688888889,0.00284723880941
1e-05,1e-05,1e-05,1e-05,1,Z3 Y5 X8,0.989066666667,0.00290645997367,0.989066666667,0.00290645997367
1e-05,1e-05,1e-05,1e-05,5,Logical X,0.994533333333,0.00235799772195,0.994511111111,0.00246155626774
1e-05,1e-05,1e-05,1e-05,5,Logical Y,0.0137111111111,0.00961748620319,0.00288888888889,0.0142062889677
1e-05,1e-05,1e-05,1e-05,5,Logical Z,0.0133555555556,0.0089124878309,-0.00417777777778,0.0183853459332
1e-05,1e-05,1e-05,1e-05,5,X0 X1,0.994244444444,0.00225896822027,0.994244444444,0.00225896822027
1e-05,1e-05,1e-05,1e-05,5,X1 Z2 Y3 Y4 Z5 X7,0.983955555556,0.00413167684023,0.983955555556,0.00413167684023
1e-05,1e-05,1e-05,1e-05,5,X10 Z13 Y14 Y17 Z18 X22,0.982888888889,0.0027920705089,0.982888888889,0.0027920705089
1e-05,1e-05,1e-05,1e-05,5,X11 Z14 Y15 Y18 Z19 X23,0.983444444444,0.00318080128382,0.983444444444,0.00318080128382
1e-05,1e-05,1e-05,1e-05,5,X12 X16,0.994022222222,0.00230596981922,0.994022222222,0.00230596981922
1e-05,1e-05,1e-05,1e-05,5,X13 X17,0.994066666667,0.00184743790692,0.994066666667,0.00184743790692
1e-05,1e-05,1e-05,1e-05,5,X14 X18,0.994111111111,0.00163377505951,0.994111111111,0.00163377505951
1e-05,1e-05,1e-05,1e-05,5,X15 X19,0.9948,0.00190502461243,0.9948,0.00190502461243
1e-05,1e-05,1e-05,1e-05,5,X16 Z20 Y21 Y25 Z26 X30,0.984466666667,0.00395045950089,0.984466666667,0.00395045950089
1e-05,1e-05,1e-05,1e-05,5,X17 Z21 Y22 Y26 Z27 X31,0.983755555556,0.00343291854802,0.983755555556,0.00343291854802
1e-05,1e-05,1e-05,1e-05,5,X18 Z22 Y23 Y27 Z28 X32,0.983755555556,0.00355141041901,0.983755555556,0.00355141041901
1e-05,1e-05,1e-05,1e-05,5,X19 Z23 Y24 Y28 Z29 X33,0.983688888889,0.00293862288666,0.983688888889,0.00293862288666
1e-05,1e-05,1e-05,1e-05,5,X2 X4,0.994688888889,0.00186505129886,0.994688888889,0.00186505129886
1e-05,1e-05,1e-05,1e-05,5,X20 X25,0.993888888889,0.00161490503222,0.993888888889,0.00161490503222
