g1_z,IZ,ZI,ZZ,round,operator,mean,std
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994244444444,0.00214767687612
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0188222222222,0.0141699410234
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0134444444444,0.00981059452869
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.994177777778,0.00189318870528
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.983,0.00360820690761
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9828,0.0033785439744
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.984244444444,0.00360707407703
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.994866666667,0.00169877124852
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994422222222,0.00187325056743
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.994288888889,0.00154308079494
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.994666666667,0.00198075027389
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X30,0.983177777778,0.00242391237739
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X31,0.982955555556,0.00345161779308
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X32,0.984377777778,0.00314981399844
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X33,0.983288888889,0.00306723299785
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994288888889,0.00189925037306
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.994177777778,0.00169681543808
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.995,0.00168609367397
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994533333333,0.00223795199206
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.9944,0.00137408973701
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.993955555556,0.00183564813808
1e-05,1e-05,1e-05,1e-05,1,X25 Y30 Z34,0.989155555556,0.00256670896119
1e-05,1e-05,1e-05,1e-05,1,X26 Z30 Y31 Y34 Z35 X38,0.983822222222,0.00306723299785
1e-05,1e-05,1e-05,1e-05,1,X27 Z31 Y32 Y35 Z36 X39,0.983044444444,0.00314006776086
1e-05,1e-05,1e-05,1e-05,1,X28 Z32 Y33 Y36 Z37 X40,0.983688888889,0.0033298065634
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.994155555556,0.00158230961057
1e-05,1e-05,1e-05,1e-05,1,X30 X34,0.994511111111,0.00164871558817
1e-05,1e-05,1e-05,1e-05,1,X31 X35,0.994711111111,0.00157502863401
1e-05,1e-05,1e-05,1e-05,1,X32 X36,0.994133333333,0.00200688470194
1e-05,1e-05,1e-05,1e-05,1,X33 X37,0.994622222222,0.00204121016869
1e-05,1e-05,1e-05,1e-05,1,X35 Z38 Y39 Y41 Z42 X44,0.9836,0.00300497671496
1e-05,1e-05,1e-05,1e-05,1,X36 Z39 Y40 Y42 Z43 X45,0.983311111111,0.00343737997584
1e-05,1e-05,1e-05,1e-05,1,X37 Z40 Y43,0.989666666667,0.00243064723418
1e-05,1e-05,1e-05,1e-05,1,X38 X41,0.994622222222,0.00174139005851
1e-05,1e-05,1e-05,1e-05,1,X39 X42,0.994355555556,0.00217779341616
1e-05,1e-05,1e-05,1e-05,1,X4 Z6 Y7 Y9 Z10 X13,0.983066666667,0.00310530383013
1e-05,1e-05,1e-05,1e-05,1,X40 X43,0.994022222222,0.00209713055799
1e-05,1e-05,1e-05,1e-05,1,X41 Y44 Z46,0.989155555556,0.00300157472506
1e-05,1e-05,1e-05,1e-05,1,X42 Z44 Y45 Y46 Z47 X48,0.9842,0.00324786991794
1e-05,1e-05,1e-05,1e-05,1,X44 X46,0.994288888889,0.0018251821582
1e-05,1e-05,1e-05,1e-05,1,X45 X47,0.994888888889,0.00233798114
1e-05,1e-05,1e-05,1e-05,1,X47 Z48 Y49,0.989888888889,0.0019024753654
1e-05,1e-05,1e-05,1e-05,1,X48 X49,0.994488888889,0.00195687868857
1e-05,1e-05,1e-05,1e-05,1,X5 Z7 Y8 Y10 Z11 X14,0.983155555556,0.0032136363349
1e-05,1e-05,1e-05,1e-05,1,X6 X9,0.994911111111,0.00160920087574
