g1_z,IZ,ZI,ZZ,round,operator,mean,std,mean_signed,std_signed
1e-05,1e-05,1e-05,1e-05,1,Logical X,0.994088888889,0.00219182272218,0.994888888889,0.00132564835098
1e-05,1e-05,1e-05,1e-05,1,Logical Y,0.0124222222222,0.0103227358834,-0.00371111111111,0.016067561699
1e-05,1e-05,1e-05,1e-05,1,Logical Z,0.0174888888889,0.00941781686937,0.00642222222222,0.0209546003203
1e-05,1e-05,1e-05,1e-05,1,X0 X1,0.9942,0.00192702100707,0.9942,0.00192702100707
1e-05,1e-05,1e-05,1e-05,1,X1 Z2 Y3 Y4 Z5 X7,0.983288888889,0.00320408423906,0.983288888889,0.00320408423906
1e-05,1e-05,1e-05,1e-05,1,X10 Z13 Y14 Y17 Z18 X22,0.9836,0.00297936710603,0.9836,0.00297936710603
1e-05,1e-05,1e-05,1e-05,1,X11 Z14 Y15 Y18 Z19 X23,0.9824,0.00364560303049,0.9824,0.00364560303049
1e-05,1e-05,1e-05,1e-05,1,X12 X16,0.993755555556,0.00237795322875,0.993755555556,0.00237795322875
1e-05,1e-05,1e-05,1e-05,1,X13 X17,0.994266666667,0.00225975959119,0.994266666667,0.00225975959119
1e-05,1e-05,1e-05,1e-05,1,X14 X18,0.993933333333,0.00251493622475,0.993933333333,0.00251493622475
1e-05,1e-05,1e-05,1e-05,1,X15 X19,0.995111111111,0.00157891599978,0.995111111111,0.00157891599978
1e-05,1e-05,1e-05,1e-05,1,X16 Z20 Y21 Y25 Z26 X31,0.982755555556,0.00350471311929,0.982755555556,0.00350471311929
1e-05,1e-05,1e-05,1e-05,1,X17 Z21 Y22 Y26 Z27 X32,0.983222222222,0.00345339339287,0.983222222222,0.00345339339287
1e-05,1e-05,1e-05,1e-05,1,X18 Z22 Y23 Y27 Z28 X33,0.9838,0.00333632050061,0.9838,0.00333632050061
1e-05,1e-05,1e-05,1e-05,1,X19 Z23 Y24 Y28 Z29 X34,0.983822222222,0.00370536871897,0.983822222222,0.00370536871897
1e-05,1e-05,1e-05,1e-05,1,X2 X4,0.994288888889,0.00185020105221,0.994288888889,0.00185020105221
1e-05,1e-05,1e-05,1e-05,1,X20 X25,0.994533333333,0.00131481391542,0.994533333333,0.00131481391542
1e-05,1e-05,1e-05,1e-05,1,X21 X26,0.994111111111,0.00229664645293,0.994111111111,0.00229664645293
1e-05,1e-05,1e-05,1e-05,1,X22 X27,0.994311111111,0.00175716013775,0.994311111111,0.00175716013775
1e-05,1e-05,1e-05,1e-05,1,X23 X28,0.994088888889,0.00157308134874,0.994088888889,0.00157308134874
1e-05,1e-05,1e-05,1e-05,1,X24 X29,0.9946,0.00197571462409,0.9946,0.00197571462409
1e-05,1e-05,1e-05,1e-05,1,X25 Z30 Y31 Y36 Z37 X43,0.983644444444,0.00433371645816,0.983644444444,0.00433371645816
1e-05,1e-05,1e-05,1e-05,1,X26 Z31 Y32 Y37 Z38 X44,0.982622222222,0.00228895956443,0.982622222222,0.00228895956443
1e-05,1e-05,1e-05,1e-05,1,X27 Z32 Y33 Y38 Z39 X45,0.984333333333,0.00316953892727,0.984333333333,0.00316953892727
1e-05,1e-05,1e-05,1e-05,1,X28 Z33 Y34 Y39 Z40 X46,0.983244444444,0.00333440595769,0.983244444444,0.00333440595769
1e-05,1e-05,1e-05,1e-05,1,X29 Z34 Y35 Y40 Z41 X47,0.984111111111,0.00295085328699,0.984111111111,0.00295085328699
1e-05,1e-05,1e-05,1e-05,1,X3 X5,0.994511111111,0.00183355972131,0.994511111111,0.00183355972131
1e-05,1e-05,1e-05,1e-05,1,X30 X36,0.994488888889,0.00176759536062,0.994488888889,0.00176759536062
1e-05,1e-05,1e-05,1e-05,1,X31 X37,0.993733333333,0.00196209286965,0.993733333333,0.00196209286965
1e-05,1e-05,1e-05,1e-05,1,X32 X38,0.9942,0.00178671127067,0.9942,0.00178671127067
1e-05,1e-05,1e-05,1e-05,1,X33 X39,0.9946,0.00213957420478,0.9946,0.00213957420478
